n,cos,sin
724,-0.967824,0.112777
725,-0.974167,0.0162897
726,-0.970914,-0.0803435
727,-0.958101,-0.176171
728,-0.935854,-0.270248
729,-0.904395,-0.36165
730,-0.864034,-0.449476
731,-0.815171,-0.532863
732,-0.758288,-0.610989
733,-0.693948,-0.683087
734,-0.622784,-0.748448
735,-0.545499,-0.806429
736,-0.462855,-0.85646
737,-0.375666,-0.898051
738,-0.284792,-0.930793
739,-0.191129,-0.954366
740,-0.0955978,-0.968538
741,0.000859438,-0.973173
742,0.0972931,-0.968226
743,0.192754,-0.953748
744,0.286302,-0.929882
745,0.377017,-0.896866
746,0.464006,-0.855026
747,0.546414,-0.804775
748,0.623429,-0.746611
749,0.694296,-0.681105
750,0.758317,-0.608906
751,0.814864,-0.530724
752,0.86338,-0.447331
753,0.903391,-0.359548
754,0.934503,-0.268239
755,0.956413,-0.174305
756,0.968905,-0.0786708
757,0.97186,0.0177228
758,0.965248,0.113927
759,0.949138,0.208994
760,0.92369,0.301989
761,0.889155,0.391997
762,0.845875,0.478133
763,0.794278,0.55955
764,0.734873,0.635448
765,0.668245,0.705079
766,0.595053,0.767762
767,0.516017,0.822879
768,0.431916,0.86989
769,0.343578,0.908334
770,0.251874,0.937834
771,0.157707,0.958101
772,0.0620031,0.968938
773,-0.0342951,0.97024
774,-0.13024,0.961995
775,-0.224888,0.944287
776,-0.317309,0.917292
777,-0.406592,0.881276
778,-0.49186,0.836596
779,-0.572276,0.783693
780,-0.647049,0.723089
781,-0.715444,0.655381
782,-0.776789,0.581237
783,-0.830484,0.501388
784,-0.876,0.41662
785,-0.912891,0.327768
786,-0.940797,0.235706
787,-0.959444,0.141341
788,-0.96865,0.0456008
789,-0.968328,-0.0505717
790,-0.958481,-0.146231
791,-0.939209,-0.240436
792,-0.910702,-0.33226
793,-0.873244,-0.420802
794,-0.827203,-0.50519
795,-0.773034,-0.584595
796,-0.711272,-0.658238
797,-0.642526,-0.725396
798,-0.567472,-0.785408
799,-0.48685,-0.837687
800,-0.401455,-0.881719
801,-0.312125,-0.917073
802,-0.219742,-0.943403
803,-0.125213,-0.960453
804,-0.0294693,-0.968055
805,0.0665482,-0.966137
806,0.161895,-0.95472
807,0.255634,-0.933918
808,0.346844,-0.903936
809,0.434628,-0.865072
810,0.518124,-0.81771
811,0.596512,-0.762316
812,0.669021,-0.699437
813,0.734942,-0.629692
814,0.793625,-0.553768
815,0.844497,-0.472414
816,0.887058,-0.386429
817,0.920891,-0.29666
818,0.945666,-0.203991
819,0.961141,-0.109331
820,0.967165,-0.013614
821,0.963681,0.0822209
822,0.950726,0.177231
823,0.928427,0.270483
824,0.897007,0.36106
825,0.856776,0.448073
826,0.80813,0.530666
827,0.751551,0.60803
828,0.687594,0.679404
829,0.616891,0.744089
830,0.540138,0.801449
831,0.458089,0.850923
832,0.371553,0.892026
833,0.281381,0.924356
834,0.188459,0.947596
